ticker,date,close,raw_close,high,low,open,volume
GLE FP,2024-01-31,23.96,23.96,24.14,23.71,23.86,2913975.0
KPN NA,2024-01-31,3.148,3.148,3.178,3.133,3.139,34160170.0
NK FP,2024-01-31,30.88,30.88,31.28,30.84,31.04,108134.0
ROVI SM,2024-01-31,64.05,64.05,64.75,63.25,63.25,64378.0
AALB NA,2024-01-31,36.98,36.98,37.55,36.94,37.27,165073.0
AALB NA,2024-02-01,36.73,36.73,37.1,36.72,36.8,166764.0
NK FP,2024-02-01,30.52,30.52,30.84,30.32,30.56,52304.0
ROVI SM,2024-02-01,63.35,63.35,64.8,63.25,64.0,55854.0
GLE FP,2024-02-01,23.0,23.0,23.56,22.775,23.21,6828591.0
KPN NA,2024-02-01,3.245,3.245,3.273,3.171,3.18,62335624.0
GLE FP,2024-02-02,23.105,23.105,23.33,23.015,23.2,2496063.0
KPN NA,2024-02-02,3.267,3.267,3.284,3.244,3.256,26171338.0
ROVI SM,2024-02-02,62.95,62.95,64.35,62.95,63.65,48692.0
NK FP,2024-02-02,30.66,30.66,31.8,30.62,31.6,101737.0
AALB NA,2024-02-02,36.4,36.4,37.21,36.4,37.04,179430.0
KPN NA,2024-02-05,3.245,3.245,3.3,3.245,3.271,20598264.0
GLE FP,2024-02-05,22.765,22.765,23.445,22.625,23.33,2968572.0
NK FP,2024-02-05,30.76,30.76,31.1,30.46,30.8,99800.0
ROVI SM,2024-02-05,65.2,65.2,65.3,62.8,62.85,85120.0
AALB NA,2024-02-05,35.77,35.77,36.7,35.51,36.4,192389.0
AALB NA,2024-02-06,36.29,36.29,36.29,35.59,35.88,166735.0
NK FP,2024-02-06,31.04,31.04,31.2,30.62,30.82,70082.0
ROVI SM,2024-02-06,64.95,64.95,65.75,64.55,65.5,62522.0
KPN NA,2024-02-06,3.213,3.213,3.249,3.188,3.241,41177812.0
GLE FP,2024-02-06,22.53,22.53,22.965,22.36,22.9,4172526.0
NK FP,2024-02-07,31.12,31.12,31.6,30.64,31.18,96730.0
ROVI SM,2024-02-07,66.0,66.0,66.15,64.65,64.65,65708.0
KPN NA,2024-02-07,3.253,3.253,3.276,3.204,3.214,23999220.0
AALB NA,2024-02-07,35.8,35.8,36.69,35.82,36.33,126798.0
GLE FP,2024-02-07,22.24,22.24,22.64,21.885,22.46,5183596.0
GLE FP,2024-02-08,22.025,22.025,22.99,21.265,22.245,6925496.0
AALB NA,2024-02-08,36.07,36.07,36.22,35.71,35.84,134855.0
ROVI SM,2024-02-08,66.5,66.5,67.0,65.7,66.2,57260.0
